#{"t_start": 1693592155.0142877, "env_id": null}
r,l,t
1487.0,500,25513.198062
1420.0,500,25514.65484
1461.0,500,25516.974174
1961.0,500,25521.991805
2009.0,500,25523.120443
1395.0,500,25524.610932
1144.0,500,25527.041209
2095.0,500,26148.530657
1682.0,500,26150.302757
1596.0,500,26151.71232
995.0,429,26152.640384
1267.0,500,26158.802205
1700.0,500,26159.8824
1451.0,500,26161.309247
1323.0,500,26162.220219
1507.0,500,26168.632417
1339.0,500,26169.747732
1534.0,500,26171.25121
1441.0,500,26172.177576
1325.0,500,26178.588547
1659.0,500,26179.704149
1590.0,500,26181.159294
1595.0,500,26182.101882
1292.0,500,26813.776356
1421.0,500,26815.022827
1238.0,500,26816.558874
1327.0,500,26817.546216
1330.0,500,26823.805765
2092.0,500,26824.911916
806.0,500,26826.312904
1572.0,500,26827.190279
887.0,500,26833.322266
1249.0,500,26834.461786
1437.0,500,26835.87592
1327.0,500,26836.817541
2223.0,500,26843.073461
1511.0,500,26844.186182
1199.0,500,26845.754393
1357.0,500,26846.765905
1771.0,500,27477.372983
1292.0,500,27478.596029
1596.0,500,27480.070063
1341.0,500,27481.011108
1406.0,500,27487.533548
1374.0,500,27488.619627
1568.0,500,27490.057233
1560.0,500,27490.967422
1290.0,500,27497.333058
1672.0,500,27498.479777
1360.0,500,27499.951449
1473.0,500,27500.892959
1401.0,500,27507.305938
1739.0,500,27508.388041
1349.0,500,27509.910245
1645.0,500,27510.866683
2032.0,500,28135.428841
1233.0,500,28136.60609
1494.0,500,28138.047792
1423.0,500,28138.988261
1261.0,500,28145.352887
1310.0,500,28146.481905
1575.0,500,28147.957024
1608.0,500,28148.928875
1467.0,500,28155.608478
1692.0,500,28156.72281
1343.0,500,28158.179836
1339.0,500,28159.12023
1424.0,500,28165.5495
1926.0,500,28166.634522
1744.0,500,28168.090136
1196.0,500,28169.013727
1687.0,500,28805.260284
1436.0,500,28806.498072
1640.0,500,28808.019844
2133.0,500,28808.989877
1673.0,500,28815.405027
1917.0,500,28816.493169
1427.0,500,28817.95964
1396.0,500,28818.884932
